Isolate	Reference	Total_Allele_Kmers	Matched_Kmers	Prop
34.ESP_1985c_S36	HTF_p26.D6	15	0	0.0
34.ESP_1985c_S36	HTF_p5.D5	993	0	0.0
34.ESP_1985c_S36	HTF_p7.G11	1063	0	0.0
64.GBR_1933b_S36	HTF_p21.F9	746	320	0.429
64.GBR_1933b_S36	HTF_p23.B8	31	0	0.0
64.GBR_1933b_S36	HTF_p25.A12	777	0	0.0
64.GBR_1933b_S36	HTF_p25.C2	1167	0	0.0
64.GBR_1933b_S36	HTF_p26.D6	15	0	0.0
64.GBR_1933b_S36	HTF_p5.D5	993	0	0.0
64.GBR_1933b_S36	HTF_p7.G11	1063	23	0.0216
75.LTU_1894_S30	HTF_p21.F9	746	18	0.0241
75.LTU_1894_S30	HTF_p23.B8	31	0	0.0
75.LTU_1894_S30	HTF_p25.A12	777	312	0.4015
75.LTU_1894_S30	HTF_p25.C2	1167	0	0.0
75.LTU_1894_S30	HTF_p26.D6	15	0	0.0
75.LTU_1894_S30	HTF_p5.D5	993	1	0.001
75.LTU_1894_S30	HTF_p7.G11	1063	24	0.0226
76.LTU_2009_S19	HTF_p21.F9	746	589	0.7895
76.LTU_2009_S19	HTF_p23.B8	31	0	0.0
76.LTU_2009_S19	HTF_p25.A12	777	0	0.0
76.LTU_2009_S19	HTF_p25.C2	1167	0	0.0
76.LTU_2009_S19	HTF_p26.D6	15	0	0.0
76.LTU_2009_S19	HTF_p5.D5	993	6	0.006
76.LTU_2009_S19	HTF_p7.G11	1063	0	0.0
86.NOR_1911_S7	HTF_p21.F9	746	0	0.0
86.NOR_1911_S7	HTF_p23.B8	31	2	0.0645
86.NOR_1911_S7	HTF_p25.A12	777	0	0.0
86.NOR_1911_S7	HTF_p25.C2	1167	0	0.0
86.NOR_1911_S7	HTF_p26.D6	15	0	0.0
86.NOR_1911_S7	HTF_p5.D5	993	0	0.0
86.NOR_1911_S7	HTF_p7.G11	1063	0	0.0
HB0737	HTF_p21.F9	746	0	0.0
HB0737	HTF_p23.B8	31	23	0.7419
HB0737	HTF_p25.A12	777	0	0.0
HB0737	HTF_p25.C2	1167	0	0.0
HB0737	HTF_p26.D6	15	0	0.0
HB0737	HTF_p5.D5	993	0	0.0
HB0737	HTF_p7.G11	1063	0	0.0
HB0766	HTF_p21.F9	746	273	0.366
HB0766	HTF_p23.B8	31	0	0.0
HB0766	HTF_p25.A12	777	0	0.0
HB0766	HTF_p25.C2	1167	8	0.0069
HB0766	HTF_p26.D6	15	0	0.0
HB0766	HTF_p5.D5	993	1	0.001
HB0766	HTF_p7.G11	1063	0	0.0
HB0808	HTF_p21.F9	746	0	0.0
HB0808	HTF_p23.B8	31	0	0.0
HB0808	HTF_p25.A12	777	14	0.018
HB0808	HTF_p25.C2	1167	0	0.0
HB0808	HTF_p26.D6	15	0	0.0
HB0808	HTF_p5.D5	993	0	0.0
HB0808	HTF_p7.G11	1063	13	0.0122
HB0814	HTF_p21.F9	746	71	0.0952
HB0814	HTF_p23.B8	31	0	0.0
HB0814	HTF_p25.A12	777	209	0.269
HB0814	HTF_p25.C2	1167	0	0.0
HB0814	HTF_p26.D6	15	0	0.0
HB0814	HTF_p5.D5	993	0	0.0
HB0814	HTF_p7.G11	1063	2	0.0019
HB0828	HTF_p21.F9	746	67	0.0898
HB0828	HTF_p23.B8	31	0	0.0
HB0828	HTF_p25.A12	777	172	0.2214
HB0828	HTF_p25.C2	1167	0	0.0
HB0828	HTF_p26.D6	15	0	0.0
HB0828	HTF_p5.D5	993	0	0.0
HB0828	HTF_p7.G11	1063	0	0.0
HB0840	HTF_p21.F9	746	0	0.0
HB0840	HTF_p23.B8	31	0	0.0
HB0840	HTF_p25.A12	777	0	0.0
HB0840	HTF_p25.C2	1167	0	0.0
HB0840	HTF_p26.D6	15	0	0.0
HB0840	HTF_p5.D5	993	0	0.0
HB0840	HTF_p7.G11	1063	176	0.1656
HB0841	HTF_p21.F9	746	0	0.0
HB0841	HTF_p23.B8	31	0	0.0
HB0841	HTF_p25.A12	777	71	0.0914
HB0841	HTF_p25.C2	1167	0	0.0
HB0841	HTF_p26.D6	15	0	0.0
HB0841	HTF_p5.D5	993	0	0.0
HB0841	HTF_p7.G11	1063	97	0.0913
HB0863	HTF_p21.F9	746	44	0.059
HB0863	HTF_p23.B8	31	0	0.0
HB0863	HTF_p25.A12	777	0	0.0
HB0863	HTF_p25.C2	1167	0	0.0
HB0863	HTF_p26.D6	15	0	0.0
HB0863	HTF_p5.D5	993	0	0.0
HB0863	HTF_p7.G11	1063	0	0.0
PL0001	HTF_p21.F9	746	238	0.319
PL0001	HTF_p23.B8	31	0	0.0
PL0001	HTF_p25.A12	777	0	0.0
PL0001	HTF_p25.C2	1167	0	0.0
PL0001	HTF_p26.D6	15	0	0.0
PL0001	HTF_p5.D5	993	0	0.0
PL0001	HTF_p7.G11	1063	0	0.0
PL0026	HTF_p21.F9	746	0	0.0
PL0026	HTF_p23.B8	31	0	0.0
PL0026	HTF_p25.A12	777	0	0.0
PL0026	HTF_p25.C2	1167	0	0.0
PL0026	HTF_p26.D6	15	0	0.0
PL0026	HTF_p5.D5	993	0	0.0
PL0026	HTF_p7.G11	1063	0	0.0
PL0027	HTF_p21.F9	746	0	0.0
PL0027	HTF_p23.B8	31	0	0.0
PL0027	HTF_p25.A12	777	0	0.0
PL0027	HTF_p25.C2	1167	0	0.0
PL0027	HTF_p26.D6	15	0	0.0
PL0027	HTF_p5.D5	993	0	0.0
PL0027	HTF_p7.G11	1063	0	0.0
PL0042	HTF_p21.F9	746	0	0.0
PL0042	HTF_p23.B8	31	0	0.0
PL0042	HTF_p25.A12	777	337	0.4337
PL0042	HTF_p25.C2	1167	0	0.0
PL0042	HTF_p26.D6	15	0	0.0
PL0042	HTF_p5.D5	993	54	0.0544
PL0042	HTF_p7.G11	1063	30	0.0282
PL0046	HTF_p21.F9	746	190	0.2547
PL0046	HTF_p23.B8	31	0	0.0
PL0046	HTF_p25.A12	777	31	0.0399
PL0046	HTF_p25.C2	1167	8	0.0069
PL0046	HTF_p26.D6	15	0	0.0
PL0046	HTF_p5.D5	993	1	0.001
PL0046	HTF_p7.G11	1063	0	0.0
PL0051	HTF_p21.F9	746	0	0.0
PL0051	HTF_p23.B8	31	0	0.0
PL0051	HTF_p25.A12	777	305	0.3925
PL0051	HTF_p25.C2	1167	0	0.0
PL0051	HTF_p26.D6	15	0	0.0
PL0051	HTF_p5.D5	993	6	0.006
PL0051	HTF_p7.G11	1063	30	0.0282
PL0053	HTF_p21.F9	746	0	0.0
PL0053	HTF_p23.B8	31	0	0.0
PL0053	HTF_p25.A12	777	0	0.0
PL0053	HTF_p25.C2	1167	0	0.0
PL0053	HTF_p26.D6	15	0	0.0
PL0053	HTF_p5.D5	993	0	0.0
PL0053	HTF_p7.G11	1063	0	0.0
PL0059	HTF_p21.F9	746	0	0.0
PL0059	HTF_p23.B8	31	31	1.0
PL0059	HTF_p25.A12	777	0	0.0
PL0059	HTF_p25.C2	1167	0	0.0
PL0059	HTF_p26.D6	15	2	0.1333
PL0059	HTF_p5.D5	993	0	0.0
PL0059	HTF_p7.G11	1063	0	0.0
PL0065	HTF_p21.F9	746	0	0.0
PL0065	HTF_p23.B8	31	0	0.0
PL0065	HTF_p25.A12	777	0	0.0
PL0065	HTF_p25.C2	1167	0	0.0
PL0065	HTF_p26.D6	15	0	0.0
PL0065	HTF_p5.D5	993	0	0.0
PL0065	HTF_p7.G11	1063	0	0.0
PL0066	HTF_p21.F9	746	97	0.13
PL0066	HTF_p23.B8	31	0	0.0
PL0066	HTF_p25.A12	777	0	0.0
PL0066	HTF_p25.C2	1167	0	0.0
PL0066	HTF_p26.D6	15	0	0.0
PL0066	HTF_p5.D5	993	0	0.0
PL0066	HTF_p7.G11	1063	0	0.0
PL0068	HTF_p21.F9	746	0	0.0
PL0068	HTF_p23.B8	31	14	0.4516
PL0068	HTF_p25.A12	777	0	0.0
PL0068	HTF_p25.C2	1167	0	0.0
PL0068	HTF_p26.D6	15	1	0.0667
PL0068	HTF_p5.D5	993	0	0.0
PL0068	HTF_p7.G11	1063	0	0.0
PL0073	HTF_p21.F9	746	0	0.0
PL0073	HTF_p23.B8	31	0	0.0
PL0073	HTF_p25.A12	777	8	0.0103
PL0073	HTF_p25.C2	1167	0	0.0
PL0073	HTF_p26.D6	15	0	0.0
PL0073	HTF_p5.D5	993	0	0.0
PL0073	HTF_p7.G11	1063	97	0.0913
PL0080	HTF_p21.F9	746	25	0.0335
PL0080	HTF_p23.B8	31	0	0.0
PL0080	HTF_p25.A12	777	450	0.5792
PL0080	HTF_p25.C2	1167	0	0.0
PL0080	HTF_p26.D6	15	0	0.0
PL0080	HTF_p5.D5	993	1	0.001
PL0080	HTF_p7.G11	1063	0	0.0
PL0087	HTF_p21.F9	746	0	0.0
PL0087	HTF_p23.B8	31	0	0.0
PL0087	HTF_p25.A12	777	0	0.0
PL0087	HTF_p25.C2	1167	0	0.0
PL0087	HTF_p26.D6	15	0	0.0
PL0087	HTF_p5.D5	993	147	0.148
PL0087	HTF_p7.G11	1063	0	0.0
PL0102	HTF_p21.F9	746	0	0.0
PL0102	HTF_p23.B8	31	0	0.0
PL0102	HTF_p25.A12	777	352	0.453
PL0102	HTF_p25.C2	1167	0	0.0
PL0102	HTF_p26.D6	15	0	0.0
PL0102	HTF_p5.D5	993	71	0.0715
PL0102	HTF_p7.G11	1063	30	0.0282
PL0105	HTF_p21.F9	746	15	0.0201
PL0105	HTF_p23.B8	31	0	0.0
PL0105	HTF_p25.A12	777	0	0.0
PL0105	HTF_p25.C2	1167	0	0.0
PL0105	HTF_p26.D6	15	0	0.0
PL0105	HTF_p5.D5	993	0	0.0
PL0105	HTF_p7.G11	1063	0	0.0
PL0108	HTF_p21.F9	746	0	0.0
PL0108	HTF_p23.B8	31	0	0.0
PL0108	HTF_p25.A12	777	126	0.1622
PL0108	HTF_p25.C2	1167	0	0.0
PL0108	HTF_p26.D6	15	0	0.0
PL0108	HTF_p5.D5	993	0	0.0
PL0108	HTF_p7.G11	1063	0	0.0
PL0127	HTF_p21.F9	746	0	0.0
PL0127	HTF_p23.B8	31	0	0.0
PL0127	HTF_p25.A12	777	27	0.0347
PL0127	HTF_p25.C2	1167	0	0.0
PL0127	HTF_p26.D6	15	0	0.0
PL0127	HTF_p5.D5	993	1	0.001
PL0127	HTF_p7.G11	1063	508	0.4779
PL0131	HTF_p21.F9	746	28	0.0375
PL0131	HTF_p23.B8	31	0	0.0
PL0131	HTF_p25.A12	777	21	0.027
PL0131	HTF_p25.C2	1167	0	0.0
PL0131	HTF_p26.D6	15	0	0.0
PL0131	HTF_p5.D5	993	445	0.4481
PL0131	HTF_p7.G11	1063	0	0.0
PL0137	HTF_p21.F9	746	0	0.0
PL0137	HTF_p23.B8	31	0	0.0
PL0137	HTF_p25.A12	777	0	0.0
PL0137	HTF_p25.C2	1167	0	0.0
PL0137	HTF_p26.D6	15	2	0.1333
PL0137	HTF_p5.D5	993	0	0.0
PL0137	HTF_p7.G11	1063	0	0.0
PL0139	HTF_p21.F9	746	97	0.13
PL0139	HTF_p23.B8	31	0	0.0
PL0139	HTF_p25.A12	777	0	0.0
PL0139	HTF_p25.C2	1167	0	0.0
PL0139	HTF_p26.D6	15	0	0.0
PL0139	HTF_p5.D5	993	0	0.0
PL0139	HTF_p7.G11	1063	0	0.0
PL0185	HTF_p21.F9	746	0	0.0
PL0185	HTF_p23.B8	31	0	0.0
PL0185	HTF_p25.A12	777	236	0.3037
PL0185	HTF_p25.C2	1167	0	0.0
PL0185	HTF_p26.D6	15	0	0.0
PL0185	HTF_p5.D5	993	11	0.0111
PL0185	HTF_p7.G11	1063	0	0.0
PL0203	HTF_p21.F9	746	0	0.0
PL0203	HTF_p23.B8	31	0	0.0
PL0203	HTF_p25.A12	777	0	0.0
PL0203	HTF_p25.C2	1167	0	0.0
PL0203	HTF_p26.D6	15	0	0.0
PL0203	HTF_p5.D5	993	0	0.0
PL0203	HTF_p7.G11	1063	36	0.0339
PL0210	HTF_p21.F9	746	0	0.0
PL0210	HTF_p23.B8	31	0	0.0
PL0210	HTF_p25.A12	777	0	0.0
PL0210	HTF_p25.C2	1167	0	0.0
PL0210	HTF_p26.D6	15	0	0.0
PL0210	HTF_p5.D5	993	0	0.0
PL0210	HTF_p7.G11	1063	462	0.4346
PL0220	HTF_p21.F9	746	15	0.0201
PL0220	HTF_p23.B8	31	0	0.0
PL0220	HTF_p25.A12	777	197	0.2535
PL0220	HTF_p25.C2	1167	0	0.0
PL0220	HTF_p26.D6	15	0	0.0
PL0220	HTF_p5.D5	993	6	0.006
PL0220	HTF_p7.G11	1063	0	0.0
PL0222	HTF_p21.F9	746	0	0.0
PL0222	HTF_p23.B8	31	0	0.0
PL0222	HTF_p25.A12	777	0	0.0
PL0222	HTF_p25.C2	1167	0	0.0
PL0222	HTF_p26.D6	15	0	0.0
PL0222	HTF_p5.D5	993	0	0.0
PL0222	HTF_p7.G11	1063	29	0.0273
PL0224	HTF_p21.F9	746	223	0.2989
PL0224	HTF_p23.B8	31	0	0.0
PL0224	HTF_p25.A12	777	0	0.0
PL0224	HTF_p25.C2	1167	0	0.0
PL0224	HTF_p26.D6	15	0	0.0
PL0224	HTF_p5.D5	993	0	0.0
PL0224	HTF_p7.G11	1063	95	0.0894
PL0230	HTF_p21.F9	746	0	0.0
PL0230	HTF_p23.B8	31	0	0.0
PL0230	HTF_p25.A12	777	31	0.0399
PL0230	HTF_p25.C2	1167	0	0.0
PL0230	HTF_p26.D6	15	0	0.0
PL0230	HTF_p5.D5	993	1	0.001
PL0230	HTF_p7.G11	1063	149	0.1402
PL0235	HTF_p21.F9	746	216	0.2895
PL0235	HTF_p23.B8	31	0	0.0
PL0235	HTF_p25.A12	777	5	0.0064
PL0235	HTF_p25.C2	1167	0	0.0
PL0235	HTF_p26.D6	15	0	0.0
PL0235	HTF_p5.D5	993	0	0.0
PL0235	HTF_p7.G11	1063	19	0.0179
PL0240	HTF_p21.F9	746	520	0.6971
PL0240	HTF_p23.B8	31	0	0.0
PL0240	HTF_p25.A12	777	0	0.0
PL0240	HTF_p25.C2	1167	0	0.0
PL0240	HTF_p26.D6	15	0	0.0
PL0240	HTF_p5.D5	993	0	0.0
PL0240	HTF_p7.G11	1063	0	0.0
PL0258	HTF_p21.F9	746	10	0.0134
PL0258	HTF_p23.B8	31	0	0.0
PL0258	HTF_p25.A12	777	0	0.0
PL0258	HTF_p25.C2	1167	0	0.0
PL0258	HTF_p26.D6	15	0	0.0
PL0258	HTF_p5.D5	993	0	0.0
PL0258	HTF_p7.G11	1063	21	0.0198
